String - please do not modify this file,Everything 1.3.4.686,Everything 1.4.1.870
COPYRIGHT,"Copyright © 2013 David Carpenter","Copyright © 2017 David Carpenter"
CONNECTING_TO_ETP_SERVER,"Connecting to ETP server...","Connecting to ETP Server..."
CONNECT_TO_ETP_SERVER_CAPTION,"Connect to ETP server","Connect To ETP Server"
FAILED_TO_CHECK_FOR_UPDATES_FORMAT,"Failed to check for updates\n%s","Unable to check for updates: %s"
MENU_ABOUT_EVERYTHING,"&About Everything","&About Everything..."
LAST_ACCESS_TIME,"Last Access Time","Date Accessed"
ETP_SERVER,"ETP/FTP","ETP/FTP Server"
HTTP_SERVER,"HTTP","HTTP Server"
LANGUAGE_HELP,"Set the language Everything will use to display text.","Set the language Everything will use to display text\nRequires restart."
LANGUAGE_SYSTEM_DEFAULT,"System Default","User Default"
START_EVERYTHING_ON_SYSTEM_STARTUP_HELP,"Automatically run ""Everything"" when I log on to Windows.","Automatically run ""Everything"" when you log on to Windows\nPlease make sure run as administrator is disabled if Everything does not run on system startup."
SHOW_SHELL_CONTEXT_MENUS,"Show shell context &menus","Show Search Everything folder context &menu item"
START_MENU_SHORTCUTS,"S&tart Menu shortcuts","S&tart menu shortcuts"
START_MENU_SHORTCUTS_HELP,"Show Start Menu shortcuts.","Show Start menu shortcuts."
MATCH_PATH_WHEN_SEARCH_CONTAINS_PATH_SEPERATOR,"Match &path when search contains path separator","Match &path when a search term contains a path separator"
MATCH_PATH_WHEN_SEARCH_CONTAINS_PATH_SEPERATOR_HELP,"Search full paths when the search contains a backslash (\).","Search full paths when a search term contains a backslash (\)."
BELOW_NORMAL,"Below Normal","Below normal"
ABOVE_NORMAL,"Above Normal","Above normal"
AUTO_SCROLL_VIEW,"Auto scroll &view","Automatically scroll &view"
AUTO_SCROLL_VIEW_HELP,"Scroll the window when the mouse is dragged outside the visible area.","Periodically scroll the window when the mouse is dragged outside the visible area."
SHOW_SELECTED_ITEM_IN_STATUSBAR_HELP,"Show the full name of the selected folder or file in the status bar.","Show details for the selected file or folder in the status bar."
ICON_LOAD_PRIORITY,"Load &Icon Priority:","Load &icon priority:"
ICON_LOAD_PRIORITY_HELP,"The Priority of the thread to load icons.","The priority of the thread to load icons."
READ_FILE_INFO_PRIORITY,"Load Extended In&formation Priority:","Load extended in&formation priority:"
READ_FILE_INFO_PRIORITY_HELP,"The Priority of the thread to load file size, date modified, file attributes and file type.","The priority of the thread to load extended information."
DATABASE_LOCATION_HELP,"Set the location of the database file. This is where the Everything database is saved to and loaded from\n(Empty = Executable folder)","Specify the location of the database file\nLeave empty to store the database file in the default location for local application data\n"
LOCAL_NTFS_VOLUMES,"Local NTFS &volumes:","&Local NTFS volumes:"
ENABLE_USN_JOURNAL_LOGGING,"Enable &USN Journal Logging","Enable &USN Journal"
ENABLE_USN_JOURNAL_LOGGING_HELP,"Toggle NTFS USN Journal Logging.","Enable or disable the Update Sequence Number (USN) Journal on this volume."
CHANGE_JOURNAL_MAX_SIZE_HELP,"Target maximum size that NTFS allocates for the change journal in kilobytes. The change journal can grow larger than this value, but it is then truncated at the next NTFS checkpoint to less than this value.","Target maximum size of the change journal in kilobytes."
CHANGE_JOURNAL_DELTA_SIZE_HELP,"Size of memory allocation that is added to the end and removed from the beginning of the change journal in kilobytes. The change journal can grow to more than the sum of the values of MaximumSize and AllocationDelta before being trimmed.","Size of memory allocation that is added to the end and removed from the beginning of the change journal in kilobytes."
ETP_SERVER_PORT,"&ETP/FTP Server Port:","Listen on &port:"
ETP_SERVER_PORT_HELP,"ETP/FTP server port.","Listen for new connections on the specified port."
ETP_SERVER_PASSWORD,"ETP/FTP Server &Password:","Pass&word:"
ETP_SERVER_PASSWORD_HELP,"ETP/FTP server password\n(empty = no password)","ETP/FTP server password\nEmpty = Password ignored."
ENABLE_ETP_SERVER_LOGGING,"Enable ETP/FTP server logging","Enable &logging"
ENABLE_ETP_SERVER_LOGGING_HELP,"Log all ETP/FTP server connections\n","Log all ETP/FTP server connections, requests and responses."
ETP_LOG_FILE,"ETP/FTP log &file:","Log &file:"
ETP_LOG_FILE_HELP,"Set the file name of the ETP/FTP server log file\n(Empty = Executable folder\Logs\ETP_Server_Log.txt)","Set the filename of the ETP/FTP server log file\nEmpty = Log to Logs\ETP_Server_Log.txt in the default location for application data."
ETP_SERVER_LOG_MAX_SIZE_HELP,"Maximum size of the ETP/FTP server log file, in kilobytes. The log can grow larger than this value, but it is then truncated at the next ETP/FTP server log to less than this value\n(0 = unlimited)","Maximum size of the ETP server log file, in kilobytes. (0 = unlimited)"
HTTP_SERVER_PORT,"&HTTP Server Port:","Listen on &port:"
HTTP_SERVER_PORT_HELP,"HTTP server port.","Listen for new connections on the specified port."
HTTP_SERVER_USERNAME,"HTTP Server &Username:","&Username:"
HTTP_SERVER_USERNAME_HELP,"HTTP server username\n(Empty = no username)n","Basic access authentication username\nEmpty = Username ignored."
HTTP_SERVER_PASSWORD,"HTTP Server &Password:","Pass&word:"
HTTP_SERVER_PASSWORD_HELP,"HTTP server password\n(Empty = no password)n","Basic access authentication password\nEmpty = Password ignored."
ENABLE_HTTP_SERVER_LOGGING,"Enable HTTP server logging","Enable &logging"
ENABLE_HTTP_SERVER_LOGGING_HELP,"Log all HTTP server connections.","Log all HTTP server requests and responses."
HTTP_SERVER_LOG_FILE,"HTTP server log &file:","Log &file:"
HTTP_SERVER_LOG_FILE_HELP,"Set the file name of the HTTP server log file\n(Empty = Executable folder\Logs\HTTP_Server_Log.txt)","Set the filename of the HTTP server log file\nEmpty = Log to Logs\HTTP_Server_Log.txt in the default location for application data."
HTTP_SERVER_LOG_MAX_SIZE,"Maximum size of the HTTP server log file, in kilobytes. The log can grow larger than this value, but it is then truncated at the next HTTP server log to less than this value. (0 = unlimited)","Maximum size of the HTTP server log file, in kilobytes. (0 = unlimited)"
SAVE_HTTP_SERVER_LOG_FILE,"Save HTTP server log file:","Select the HTTP Server Log File"
STARTS_A_ETP_SERVER_ALLOWING_REMOTE_USERS_TO_SEARCH_AND_ACCESS_YOUR_FOLDERS_AND_FILES_VIA_A_ETP_CLIENT,"Starts a ETP/FTP server, allowing remote users to search and access your folders and files via a ETP/FTP client.","Starts an ETP/FTP server allowing remote users to search and access yours folders and files with an ETP/FTP client."
CONNECTS_TO_A_ETP_SERVER_ALLOWING_YOU_TO_SEARCH_AND_ACCESS_THE_HOST_FOLDERS_AND_FILES,"Connects to a ETP server, allowing you to search and access the host folders and files.","Connects to an ETP server, allowing you to search and access the host folders and files."
STARTS_A_HTTP_SERVER_ALLOWING_REMOTE_USERS_TO_SEARCH_AND_ACCESS_YOUR_FOLDERS_AND_FILES_VIA_A_WEB_BROWSER,"Starts a HTTP server, allowing remote users to search and access your folders and files via a web browser.","Starts a HTTP server allowing remote users to search and access yours folders and files with a web browser."
INCREASE_THE_FONT_SIZE,"Increase the font size.","Increase the font and icon size."
DECREASE_THE_FONT_SIZE,"Decrease the font size.","Decrease the font and icon size."
RESTORE_THE_FONT_SIZE_TO_THE_DEFAULT_DESKTOP_FONT_SIZE,"Restore the font size to the default desktop font size.","Restore the font and icon size to the default desktop font and icon size."
HOST,"Host","&Host:"
PORT,"Port","&Port:"
USERNAME,"Username","&Username:"
PASSWORD,"Password","Pass&word:"
HTTP_SERVER_ALLOW_FILE_DOWNLOAD,"Allow HTTP file download","&Allow file download"
HTTP_SERVER_ALLOW_FILE_DOWNLOAD_HELP,"Allow remote clients to download files with HTTP\nIf this is disabled only searching is allowed.","Allow HTTP clients to download files."
ETP_SERVER_ALLOW_FILE_DOWNLOAD,"Allow FTP file download","&Allow file download"
ETP_SERVER_ALLOW_FILE_DOWNLOAD_HELP,"Allow remote clients to download files with FTP\nIf this is disabled only searching is allowed.","Allow remote ETP/FTP clients to download files."
ETP_SERVER_USERNAME,"ETP/FTP Server &Username:","&Username:"
ETP_SERVER_USERNAME_HELP,"ETP/FTP server username\n(Empty = any username)","ETP/FTP server username\nEmpty = Username ignored."
CREDIT_LIST,"!Created bynDavid Carpenternn!ContributorsnPiotr J. BalwierznZsolt Péter Basák (Shiki)nMateus Scherer CardosonCynikalndaspudnLê Sỹ Đạtnde4dcod3ndis1nalyzeedus dwadehnÅke Engelbrektsonnshai hornnReza JelodarnJikoonSazan KërçukunKoray KIRCAOGLUnThomas KnoopnOlav MäginmiyanonAlexandru Bogdan MunteanunSamuel MurraynNedim LaletovicnOdysseynozziinStefano PiccardinRedrubenrexxnSamnScBnJulian SewardnDenis SjostromnHenry SpencernZoltán Szabó (Bird)nTekLordnTomn01 VlatcenSepp WinklernxbetanDmitry YerokhinnnnnnnThanks for using Everything!","!Created bynDavid Carpenternn!ContributorsnPiotr J. BalwierznMichael BanznZsolt Péter Basák (Shiki)nSacher Collado Benitez (ScB)nMateus Scherer CardosonColok and Pierre le LidgeunCynikalndaspudnLê Sỹ Đạtnde4dcod3ndis1nalyzeedus dwadehnÅke Engelbrektsonnshai hornnReza JelodarnjeieaJikoonjvhnSazan KërçukunKoray KIRCAOGLUnThomas KnoopnNedim LaletovicnOlav MäginmiyanonAlexandru Bogdan MunteanunSamuel MurraynnagannOdysseynozziinStefano PiccardinrexxnSamnJulian SewardnDenis SjostromnHenry SpencernStamimailnZoltán Szabó (Bird)nTekLordntherubenTomnUniversity of Cambridgen01 VlatcenWanderMaxnSepp WinklernxbetanDmitry YerokhinnCarl YuannnnnnnThanks for using Everything!"
HIDE_RESULTS_WHEN_THE_SEARCH_EMPTY_HELP,"Only display results when I type in a search.","Only display results when you type in a search."
EXCLUDE_HIDDEN_FILES_AND_FOLDERS_HELP,"Exclude hidden files and folders from the database.","Exclude hidden files and folders from the database\nRebuilding the database may be necessary when unhiding a folder."
EXCLUDE_SYSTEM_FILES_AND_FOLDERS_HELP,"Exclude system files and folders from the database.","Exclude system files and folders from the database\nRebuilding the database may be necessary when removing the system attribute from a folder."
EXPORT_RESULT_LIST_FILE,"Export result list file:","Export Result List"
CONTAINS_COMMANDS_FOR_ADJUSTING_THE_FONT_SIZE,"Contains commands for adjusting the font size.","Contains commands for adjusting the font and icon size."
KEYS,"Keys","Keyboard"
KEYBOARD_REMOVE_BUTTON,"&Remove","Remo&ve"
KEYBOARD_RESTORE_DEFAULTS_BUTTON,"Restore &Defaults","&Restore Defaults"
KEYBOARD_RESTORE_DEFAULTS_BUTTON_HELP,"Restore settings to the default state.","Restore all settings on this page to their default state."
KEYBOARD_USE_SHORTCUT_IN_HELP,"Specify where the shortcut use is allowed\nGlobal: anywhere\nResult List: the keyboard shortcut can only be pressed in the result list\nSearch Edit: the keyboard shortcut can only be pressed in the search edit.","Specify the required focus\nGlobal = any focus in the Everything window."
MENU_HELP_SEARCH_SYNTAX,"Search Syntax","&Search Syntax"
SINGLE_CLICK_TRAY,"Sin&gle click tray","Single click &tray"
FAST_ASCII_SEARCH_HELP,"Use single byte comparisons when searching for ASCII text\nCase mappings from non-ASCII to ASCII will be ignored\nDisable this to fix case insensitive matching of i and I with dot\nDisabling this may decrease performance when searching.","Use single byte comparisons when searching for ASCII text\nCase mappings from non-ASCII to ASCII will be ignored\nDisable this to fix case insensitive matching of i and I with dot\nEnable Fast ASCII search to improve search performance."
DOUBLE_CLICK_PATH,"Allow double click in &path column","Open &path with double click in path column"
DOUBLE_CLICK_PATH_HELP,"Open the path of the result when double clicking its path column row.","Open a path in the path column by double clicking."
AUTO_INCLUDE_NEW_REMOVABLE_VOLUMES,"Auto include new &removable volumes","Automatically include new &removable volumes"
AUTO_INCLUDE_NEW_FIXED_VOLUMES,"Auto include new &fixed volumes","Automatically include new &fixed volumes"
VIEW_RESTORE_DEFAULTS_HELP,"Restore settings to the default state.","Restore all settings on this page to their default state."
ALLOW_MULTIPLE_WINDOWS_FROM_TRAY_HELP,"Create a new window or show an existing window when running Everything from the system tray.","Create a new window or show an existing window when opening Everything from the system tray."
FILELIST_STATIC,"&File Lists:","&File lists:"
FILELIST_FILE_LIST_EDITOR,"File list &editor","File List &Editor"
FILELIST_SELECT_FILE_LIST,"Select Everything filelist","Select Everything File List"
URL_PROTOCOL_HELP,"Open Everything from ES: URLs.","Open ""Everything"" from ES: URLs."
EFU_ASSOCIATION_HELP,"Associate EFU Files with ""Everything""","Associate ""Everything"" file lists (EFU files) with ""Everything"""
MENU_HELP_COMMAND_LINE_OPTIONS,"Command Line Options","&Command Line Options"
FONTS_AND_COLORS_RESTORE_DEFAULTS_BUTTON_HELP,"Restore settings to the default state.","Restore all settings on this page to their default state."
LANGUAGE_LINK,"http://www.voidtools.com/download.php","http://www.voidtools.com/downloads/#language"
DOWNLOAD_LINK,"http://www.voidtools.com/download.php","http://www.voidtools.com/downloads/"
ONLINE_HELP_LINK,"http://support.voidtools.com/everything/","http://www.voidtools.com/support/everything/"
VIEW_REFRESH_MENU_HELP,"Refresh all extended information.","Refresh all extended information, icon and thumbnail cache."
EXCLUDE_FOLDER_LIST_HELP,"List of folders to exclude\nEmpty = no folders excluded","List of folders to exclude\nEmpty = No folders excluded."
EXCLUDE_INCLUDE_ONLY_FILE_EDIT_HELP,"Semi-colon delimited wildcard filters for which files to include\nEmpty = include all files","Semi-colon delimited wildcard filters for which files to include\nEmpty = Include all files."
EXCLUDE_FILE_EDIT_HELP,"Semi-colon delimited wildcard filters for which files to exclude\nEmpty = no files excluded","Semi-colon delimited wildcard filters for which files to exclude\nEmpty = No files excluded."
BOOKMARK_REMEMBER_MATCH_CASE_BUTTON,"Remember match &case","Remember match &case:"
BOOKMARK_REMEMBER_MATCH_WHOLEWORD_BUTTON,"Remember match &whole word","Remember match &whole word:"
BOOKMARK_REMEMBER_MATCH_PATH_BUTTON,"Remember match &path","Remember match &path:"
BOOKMARK_REMEMBER_MATCH_DIACRITIC_BUTTON,"Remember match &diacritics","Remember match &diacritics:"
BOOKMARK_REMEMBER_REGEX_BUTTON,"Remember &regex","Remember &regex:"
BOOKMARK_REMEMBER_SORT_BUTTON,"Remember s&ort","Remember s&ort:"
BOOKMARK_NEW_BUTTON,"&New","&New..."
BOOKMARK_EDIT_BUTTON,"&Edit","&Edit..."
BOOKMARK_MACRO_HELP,"When typing this phrase in the search edit followed by a colon(:) the phrase is replaced by this bookmark's search\nEmpty = no macro.","When typing this phrase in the search edit followed by a colon (:) the phrase is replaced by this bookmark's search\nEmpty = No macro."
RESULT_LIST_SCROLL_LEFT_MENU,"Scroll Left","Scroll Left or Thumbnail Left"
RESULT_LIST_SCROLL_RIGHT_MENU,"Scroll Right","Scroll Right or Thumbnail Right"
RESULT_LIST_SCROLL_PAGE_LEFT_MENU,"Scroll Page Left","Scroll Page Left or Thumbnail Focus Left"
RESULT_LIST_SCROLL_PAGE_RIGHT_MENU,"Scroll Page Right","Scroll Page Right or Thumbnail Focus Right"
INDEXES_RESTORE_DEFAULTS_HELP,"Restore settings to the default state.","Restore all settings on this page to their default state."
FILE_OPEN_FILELIST_MENU,"&Open file list...","&Open File List..."
FILE_CLOSE_FILELIST_MENU,"Close file list","Close File List"
GENERAL_RESTORE_DEFAULTS_HELP,"Restore settings to the default state.","Restore all settings on this page to their default state."
UI_RESTORE_DEFAULTS_HELP,"Restore settings to the default state.","Restore all settings on this page to their default state."
SORT_DATE_DESCENDING_FIRST_HELP,"Display newest to oldest dates first.","Sort newest to oldest dates first."
SORT_SIZE_DESCENDING_FIRST_HELP,"Display largest to smallest sizes first.","Sort largest to smallest sizes first."
RESULT_LIST_FOCUS_HELP,"Clamp: the focus can not be moved above the first item, or lower than the last item\nRepeat: moving the focus above the first item will wrap to the bottom item, and vice versa with the last item\nRepeat with search: Moving the focus above the first item, or below the last item will focus the search edit.","Clamp: The focus can not be moved above the first item, or lower than the last item\nRepeat: Moving the focus above the first item will wrap to the bottom item, moving the focus below the last item will wrap to the top item\nRepeat with search: Moving the focus above the first item, or below the last item will focus the search edit."
SEARCH_RESTORE_DEFAULTS_HELP,"Restore settings to the default state.","Restore all settings on this page to their default state."
FOLDERS_UPDATE_NOW,"&Update Now","Rescan N&ow"
FOLDERS_UPDATE_NOW_HELP,"Update the selected folder now.","Rescan the selected folder now."
FOLDERS_UPDATE_ALL_NOW,"Update All &Now","Rescan All &Now"
FOLDERS_UPDATE_ALL_NOW_HELP,"Update all folders now.","Rescan all folders now."
FOLDERS_MONITOR_HELP,"Attempt to monitor local changes made to this folder\nMultiple changes that occur with-in a small time frame can be missed.","Attempt to monitor changes made to this folder\nMultiple changes that occur with-in a small time frame can be missed."
FOLDERS_UPDATE_EVERY,"Update &every","Rescan &every"
FOLDERS_UPDATE_EVERY_HELP,"Update this folder periodically at a specific time interval.","Rescan this folder periodically at a specific time interval."
FOLDERS_UPDATE_DAY,"Up&date","Res&can"
FOLDERS_UPDATE_DAY_HELP,"Update this folder at a specific time on a certain day.","Rescan this folder at a specific time on a certain day."
FOLDERS_AT_HELP,"Specify the time of day to update.","Specify the time of day to rescan."
FOLDERS_DAY_HELP,"Specify the day to update.","Specify the day to rescan."
FOLDERS_INTERVAL_HELP,"Specify the update interval time value.","Specify the rescan interval time value."
FOLDERS_HOURS_OR_MINUTES_HELP,"Specify the meaning of the update interval time value in minutes or hours.","Specify the meaning of the rescan interval time value in minutes or hours."
FOLDERS_NEVER_UPDATE,"Ne&ver update","Ne&ver rescan"
FOLDERS_NEVER_UPDATE_HELP,"Never update this folder, click Update Now to update manually.","Never rescan this folder, click Rescan Now to rescan manually."
ALLOW_ROUND_BRACKET_PARENTHESES,"Allow round bracket parentheses","Allow round &bracket grouping"
ALLOW_ROUND_BRACKET_PARENTHESES_HELP,"Allow left parenthesis '(' and right parenthesis ')' for parentheses.","Allow left parenthesis '(' and right parenthesis ')' for grouping."
HELP_REGEX_SYNTAX_TEXT,"a|btMatches a or brngr(a|e)ytMatches gray or greyrn.tMatches any single characterrn[abc]tMatches a single character a, b or crn[^abc]tMatches any single character except a, b or crn[a-z]tMatches a single charactor in the range a to zrn[a-zA-Z]tMatches a single charactor in the range a to z or A to Zrn^tMatches the start of the filenamern$tMatches the end of the filenamern*tMatches the preceding element zero or more timesrn?tMatches the preceding element zero or one timern+tMatches the preceding element one or more timesrn{x}tMatches the preceding element x timesrn{x,}tMatches the preceding element x or more timesrn{x,y}tMatches the preceding element between x and y timesrn","rnRegex Syntax:rnrna|btMatches a or brngr(a|e)ytMatches gray or greyrn.tMatches any single characterrn[abc]tMatches a single character a, b or crn[^abc]tMatches any single character except a, b or crn[a-z]tMatches a single charactor in the range a to zrn[a-zA-Z]tMatches a single charactor in the range a to z or A to Zrn^tMatches the start of the filenamern$tMatches the end of the filenamern( )tDefines a marked subexpressionrn\ntMatches what the nth marked subexpression matched, where n is a digit from 1 to 9rn\btMatch word boundariesrn*tMatches the preceding element zero or more timesrn?tMatches the preceding element zero or one timesrn+tMatches the preceding element one or more timesrn*?tLazily matches the preceding element zero or more timesrn+?tLazily matches the preceding element one or more timesrn{x}tMatches the preceding element x timesrn{x,}tMatches the preceding element x or more timesrn{x,y}tMatches the preceding element between x and y timesrn\tEscape special characterrn"
